Treatment	Group	Player	Proposal R1	Pledge R1	Contribution R1	Contribution R2	Contribution R3	Contribution R4	Contribution R5	Proposal R6	Pledge R6	Contribution R6	Contribution R7	Contribution R8	Contribution R9	Contribution R10
T4	6	2	120	20	2	2	2	2	0	132	24	4	4	0	0	0
T4	6	3	120	20	0	2	0	0	2	16	16	4	2	4	4	2
T4	6	4	120	20	2	0	2	4	2	120	24	2	4	4	2	2
T4	6	5	150	20	2	0	0	2	2	130	20	4	4	2	4	4
T4	6	6	120	20	2	2	2	0	0	132	20	4	4	2	2	0
T4	7	1	120	22	2	2	0	4	2	124	22	2	2	4	4	4
T4	7	2	120	20	2	0	2	0	2	132	10	2	4	0	0	2
T4	7	3	110	15	2	4	0	2	0	115	18	2	4	2	2	0
T4	7	4	120	20	0	0	0	0	0	20	20	0	0	0	0	0
T4	7	5	120	25	4	4	4	4	2	132	26	0	4	4	0	4
T4	7	6	140	28	2	4	2	2	2	126	24	2	4	2	2	2
T4	8	1	130	20	2	2	2	2	2	132	22	2	2	2	4	4
T4	8	2	120	2	0	2	2	2	2	110	20	4	0	2	0	4
T4	8	3	125	30	2	4	2	4	2	130	24	2	2	2	2	2
T4	8	4	120	22	2	4	2	0	2	130	22	2	4	2	2	4
T4	8	5	140	20	4	0	0	2	4	110	15	0	4	4	0	2
T4	8	6	4	20	4	2	0	0	2	120	20	2	0	4	0	4
T4	9	1	160	2	4	4	2	2	2	128	20	2	2	2	0	0
T4	9	2	120	20	2	2	2	2	2	120	22	4	4	2	0	2
T4	9	3	120	20	2	2	2	2	2	132	22	4	2	2	2	2
T4	9	4	120	20	4	0	2	2	4	132	24	4	4	0	0	4
T4	9	5	120	20	2	2	2	2	4	130	24	2	2	2	4	2
T4	9	6	110	14	2	4	2	2	0	125	20	4	2	2	2	2
T4	10	1	120	20	2	2	0	2	2	120	20	0	2	2	2	4
T4	10	2	140	20	4	4	4	4	2	132	20	2	0	0	0	4
T4	10	3	200	20	2	4	4	4	2	120	20	2	2	0	0	0
T4	10	4	120	20	0	2	0	2	0	132	14	0	4	4	0	4
T4	10	5	150	25	4	4	2	0	2	132	22	4	2	4	2	2
T4	10	6	120	20	2	2	2	0	0	120	20	2	2	0	4	2
